index,name,activity,celebrity_indice,phone_number,web_site,adresse
223,NSIA ASSURANCE BENIN,Compagnie d'assurance,"4,1 (11)",https://www.google.com/maps/place/NSIA+ASSURANCE+BENIN/data=!4m7!3m6!1s0x102355b22278212b:0x81550e5d6e54afc2!8m2!3d6.364433!4d2.4097499!16s%2Fg%2F11c52k8s3k!19sChIJKyF4IrJVIxARwq9Ubl0OVYE?authuser=0&hl=fr&rclk=1,N/A,9C75+QVH
224,Générale des assurances du Bénin (GAB),Compagnie d'assurance,"3,8 (54)",21 33 82 30,http://www.gabassurance.com/,21 33 82 30
225,BLOOM Insurance Solutions,Courtier d'assurances,N/A N/A,52 99 05 05,https://bloom.bj/,52 99 05 05
226,Nouvelle Direction Générale de Sanlam Assurance Vie Benin,Siège social,"3,5 (2)",64 18 17 17,http://www.sanlampanafrica.com/,9CCG+M4X
227,AFRICAINE DES ASSURANCES,Siège social,"3,9 (158)",21 33 07 96,http://www.africaine-assur.com/,Mosquée saint jean
228,LB ASSUR,Agence d'assurance,"3,0 (2)",97 14 18 14,N/A,97 14 18 14
229,ALLIANZ ASSURANCE BENIN,Compagnie d'assurance,"5,0 (1)",21 31 70 87,N/A,RNIE1
230,SANLAM ASSURANCES IITA,Agence d'assurance,N/A N/A,99 77 16 22,N/A,Togoudo Carrefour IITA
231,First Line Trading,Agence de voyages,"4,5 (2)",91 27 85 85,http://firstlinetrading.com/,01 BP 1976
232,Sanlam Assurance,Agence d'assurance,N/A N/A,97 49 23 82,N/A,"Zopah, Calavi"
233,CIPE 2,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/CIPE+2/data=!4m7!3m6!1s0x1024a9ff10e73b97:0xb8b3c116fbad85f3!8m2!3d6.4503024!4d2.3468195!16s%2Fg%2F11v0gljq_k!19sChIJlzvnEP-pJBAR84Wt-xbBs7g?authuser=0&hl=fr&rclk=1,N/A,F82W+4PG
234,Africaine des Assurances,Agence d'assurance,"4,0 (2)",21 36 00 50,N/A,C9W3+2MF
235,AHI ASSURANCE,,N/A N/A,66 52 26 45,N/A,9C5Q+59H
236,NSIA ASSURANCE CADJEHOUN,Siège social,"4,1 (13)",https://www.google.com/maps/place/NSIA+ASSURANCE+CADJEHOUN/data=!4m7!3m6!1s0x102355dacd813593:0xe7afbd91cbb05e7b!8m2!3d6.3590406!4d2.3989697!16s%2Fg%2F11fjbtp9j7!19sChIJkzWBzdpVIxARe16wy5G9r-c?authuser=0&hl=fr&rclk=1,N/A,"995X+JH9, Rte de Lomé"
237,Agence d'assurance michel lougoudou,Siège social,N/A N/A,95 40 37 83,N/A,"98XR+WRQ, RNIE2"
238,SAHAM Assurance cotonou siège,Compagnie d'assurance,N/A N/A,https://www.google.com/maps/place/SAHAM+Assurance+cotonou+si%C3%A8ge/data=!4m7!3m6!1s0x1024a9e3d97cf463:0xc0e7b333ee30adb6!8m2!3d6.4664359!4d2.3221191!16s%2Fg%2F11fqbz_w2h!19sChIJY_R82eOpJBARtq0w7jOz58A?authuser=0&hl=fr&rclk=1,N/A,Metropolitan Area
239,Saham Assurance,Agence d'assurance,"3,9 (63)",https://www.google.com/maps/place/Saham+Assurance/data=!4m7!3m6!1s0x1024a84f807a89ab:0xe37471faa865c72!8m2!3d6.4316886!4d2.3316694!16s%2Fg%2F11c6vjkf6v!19sChIJq4l6gE-oJBARclyGqh9HNw4?authuser=0&hl=fr&rclk=1,N/A,"C8JJ+MMF, Rte de Maria Gléta"
240,KPETOU,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/KPETOU/data=!4m7!3m6!1s0x1024a9ebf7f91f39:0x81a20ba8cef78d39!8m2!3d6.474741!4d2.3525847!16s%2Fg%2F11s4ct1rmh!19sChIJOR_59-upJBAROY33zqgLooE?authuser=0&hl=fr&rclk=1,N/A,F9F3+V2W
241,Agence d'assurance ALEPH-MGF,Agence d'assurance,N/A N/A,66 21 28 71,N/A,"9G9C+VF9, Unnamed Road"
242,Lbassur Sarl,Agence d'assurance,N/A N/A,97 74 07 07,N/A,Maison Bonou Quartier Agblangandan Lot 238
243,ATLANTIQUE ASSURANCES BENIN AGENCE AVYVA DE PORTO NOVO,Agence d'assurance,"4,5 (8)",97 08 89 47,https://atlantique-assurances-benin-agence-avyva-de.business.site/?utm_source=gmb&utm_medium=referral,03BP0487
244,APS-BENIN,Siège social,"4,6 (14)",60 11 27 27,http://www.aps-benin.com/,1354 Boulevard du Canada
245,Sanlam Assurance Kotanle Cococodji,Agence d'assurance,N/A N/A,95 41 98 99,N/A,95 41 98 99
246,Abomey Calavi,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Abomey+Calavi/data=!4m7!3m6!1s0x1024af8a95d2d19b:0xc10af726736f6d05!8m2!3d6.4902448!4d2.3637617!16s%2Fg%2F11kpvwnjg7!19sChIJm9HSlYqvJBARBW1vcyb3CsE?authuser=0&hl=fr&rclk=1,N/A,F9R7+3G
247,Atlantique Assurances Bénin Vie Direction Oueme Plateau,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Atlantique+Assurances+B%C3%A9nin+Vie+Direction+Oueme+Plateau/data=!4m7!3m6!1s0x103b574e59df9563:0x80670909a7afd78a!8m2!3d6.4786687!4d2.607363!16s%2Fg%2F11td8bygys!19sChIJY5XfWU5XOxARitevpwkJZ4A?authuser=0&hl=fr&rclk=1,N/A,FJH4+FW9
248,ASSURANCE : AGENCE SBAM,Centre commercial,N/A N/A,https://www.google.com/maps/place/ASSURANCE+:+AGENCE+SBAM/data=!4m7!3m6!1s0x1023550911a3a28d:0x770266b88fb4633e!8m2!3d6.3864899!4d2.3824451!16s%2Fg%2F11h7d7zkcy!19sChIJjaKjEQlVIxARPmO0j7hmAnc?authuser=0&hl=fr&rclk=1,N/A,"99PJ+HXW, Rue 2651"
249,Africaine des Assurances agence de Gbèdjromedé,Agence d'assurance,"4,3 (4)",61 10 53 17,http://www.africaine-assur.com/,9CJ9+GGW
250,A+ Assurances,Agence d'assurance,N/A N/A,67 89 23 13,http://sites.google.com/view/aplusassurances,9CM9+5CP
251,Atlantique assurances,Agence d'assurance,"4,0 (2)",https://www.google.com/maps/place/Atlantique+assurances/data=!4m7!3m6!1s0x10235594d8c91ef3:0xd741deabb9e95da3!8m2!3d6.3631358!4d2.4251588!16s%2Fg%2F11jfd3kvd9!19sChIJ8x7J2JRVIxARo13puaveQdc?authuser=0&hl=fr&rclk=1,N/A,9C7G+733
252,SUNU ASSURANCE,Agence d'assurance,"5,0 (1)",https://www.google.com/maps/place/SUNU+ASSURANCE/data=!4m7!3m6!1s0x102355bd5ce7b49d:0xcd16256a2da10125!8m2!3d6.3715192!4d2.4261426!16s%2Fg%2F11rv6hksvc!19sChIJnbTnXL1VIxARJQGhLWolFs0?authuser=0&hl=fr&rclk=1,N/A,9CCG+JC4
253,Atlantique Assurance Benin - Agence JMB Sarl,Agence d'assurance,"3,5 (4)",61 01 40 62,N/A,"99V6+3GG, Rue 2180"
254,Cauriass Courtage,Agence d'assurance,"4,0 (1)",66 99 79 00,N/A,"9CFF+MQX, Av. de l'Oueme"
255,Africaine des Assurances,Agence d'assurance,N/A N/A,https://www.google.com/maps/place/Africaine+des+Assurances/data=!4m7!3m6!1s0x102355ed7ab38fa7:0x49e5a6d7c1975b05!8m2!3d6.3908758!4d2.3992593!16s%2Fg%2F11g6x5vb0k!19sChIJp4-zeu1VIxARBVuXwdem5Uk?authuser=0&hl=fr&rclk=1,N/A,99RX+9P2
256,ASCOMA BENIN,Agence d'assurance,"4,1 (43)",21 31 31 24,https://www.ascoma.com/ascoma-benin/,Scoa Gbéto – Lot 210 Maison SODOGANDJI
