index,name,activity,celebrity_indice,phone_number,web_site,adresse
90,SCPA 2H,Cabinet d'avocats,"5,0 (1)",https://www.google.com/maps/place/SCPA+2H/data=!4m7!3m6!1s0x10235759e8c5028f:0x33bda683d1877802!8m2!3d6.3822329!4d2.3723659!16s%2Fg%2F11t9h5j8cn!19sChIJjwLF6FlXIxARAniH0YOmvTM?authuser=0&hl=fr&rclk=1,N/A,99JC+WX6
91,CABINET AS TOUFFLA CONSEILS,Services juridiques,"4,0 (2)",97 76 55 00,N/A,04 BP 1520
92,MZ LAW & Associates,Cabinet d'avocats,N/A N/A,51 88 31 24,N/A,"9C78+3QG, Rue 601"
93,Ro dono,Avocat spécialisé en droit de la famille,"1,0 (1)",https://www.google.com/maps/place/Ro+dono/data=!4m7!3m6!1s0x1024a9338473734d:0xd72f570d1137307a!8m2!3d6.4039941!4d2.3313834!16s%2Fg%2F11fn00504f!19sChIJTXNzhDOpJBARejA3EQ1XL9c?authuser=0&hl=fr&rclk=1,N/A,C83J+HHR
94,Cabinet du numérique et de la digitalisation,Cabinet d'avocats,N/A N/A,https://www.google.com/maps/place/Cabinet+du+num%C3%A9rique+et+de+la+digitalisation/data=!4m7!3m6!1s0x102355284d0a5f17:0xe18cc295770870bf!8m2!3d6.3526177!4d2.3878745!16s%2Fg%2F11t3mh_bjs!19sChIJF18KTShVIxARv3AId5XCjOE?authuser=0&hl=fr&rclk=1,N/A,993Q+34F
95,Cabinet Me Aline ODJE,Cabinet d'avocats,N/A N/A,95 84 37 30,N/A,9937+5G7
96,Societe Irehat Law Sarl,Services juridiques,N/A N/A,N/A,https://www.societeirehatlaw.com/,"9CG5+H85, Rue 329B"
97,Lawchef - bureau,Travaux généraux,N/A N/A,https://www.google.com/maps/place/Lawchef+-+bureau/data=!4m7!3m6!1s0x1023551089fdff0b:0xd32c0b405f47ca92!8m2!3d6.3618341!4d2.42989!16s%2Fg%2F11fsxhh77r!19sChIJC__9iRBVIxARkspHX0ALLNM?authuser=0&hl=fr&rclk=1,N/A,9C6H+PXJ
98,CABINET JURIS PLUS,Avocat,"5,0 (1)",66 24 00 42,https://cabinetjurisplus.business.site/?utm_source=gmb&utm_medium=referral,229
99,Cabinet Juridique Projet Justice,Services juridiques,N/A N/A,66 41 60 51,https://www.facebook.com/Cabinet-Juridique-Projet-Justice-112151334626440/,2.rue G. Ca. Aïtchédji-séminaire Abomey-Calavi
100,Cabinet D'Avocat Maitre Alfred BOCOVO,Siège social,N/A N/A,60 78 93 90,N/A,c/n° 3475 Zone A 02 BP 911
