index,name,activity,celebrity_indice,phone_number,web_site,adresse
58,Sik@Foods PÂTISSERIE,Pâtisserie,N/A N/A,https://www.google.com/maps/place/Sik@Foods+P%C3%82TISSERIE/data=!4m7!3m6!1s0x102355886cf1ed35:0x1d081e695ccbea28!8m2!3d6.3728621!4d2.3988899!16s%2Fg%2F11rx_g91ng!19sChIJNe3xbIhVIxARKOrLXGkeCB0?authuser=0&hl=fr&rclk=1,N/A,"Pavillon bleu, 06BP1270 Cotonou"
59,Cakesbyrikky,Boulangerie,"5,0 (3)",https://www.google.com/maps/place/Cakesbyrikky/data=!4m7!3m6!1s0x103cabb5d030be8f:0xbc5e83a0d77b81c4!8m2!3d6.3596264!4d2.4963363!16s%2Fg%2F11sdptbwz1!19sChIJj74w0LWrPBARxIF716CDXrw?authuser=0&hl=fr&rclk=1,N/A,le berlier
60,Le four sucré,Pâtisseries,"4,7 (7)",https://www.google.com/maps/place/Le+four+sucr%C3%A9/data=!4m7!3m6!1s0x1023555b4158011d:0x59c45ced5ac99bbf!8m2!3d6.3702928!4d2.3912362!16s%2Fg%2F11s8qzc61q!19sChIJHQFYQVtVIxARv5vJWu1cxFk?authuser=0&hl=fr&rclk=1,N/A,"JÉRICHO, 09 BP 146"
61,Agla cadjou,Boulangerie,N/A N/A,https://www.google.com/maps/place/Agla+cadjou/data=!4m7!3m6!1s0x102357458a0f5fb5:0x636bbe2b1324edc2!8m2!3d6.3765339!4d2.3476118!16s%2Fg%2F11sc0f69q9!19sChIJtV8PikVXIxARwu0kEyu-a2M?authuser=0&hl=fr&rclk=1,N/A,98GX+J29
62,VIVI PÂTISSERIE,Pâtisseries,N/A N/A,https://www.google.com/maps/place/VIVI+P%C3%82TISSERIE/data=!4m7!3m6!1s0x1023559f20574589:0x3778826766b57f9!8m2!3d6.367045!4d2.3918693!16s%2Fg%2F11n0wtp_qd!19sChIJiUVXIJ9VIxAR-VdrdiaIdwM?authuser=0&hl=fr&rclk=1,N/A,998R+RP9
63,SYCOMORE,Boulangerie,N/A N/A,https://www.google.com/maps/place/SYCOMORE/data=!4m7!3m6!1s0x10235729bf11d553:0x38b01c4a8bd82b97!8m2!3d6.3823735!4d2.3311036!16s%2Fg%2F11v18ct04z!19sChIJU9URvylXIxARlyvYi0ocsDg?authuser=0&hl=fr&rclk=1,N/A,98JJ+XC5
64,Roi Mai cakes and more,Boulangerie,"5,0 (8)",https://www.google.com/maps/place/Roi+Mai+cakes+and+more/data=!4m7!3m6!1s0x103cab54f45e69bd:0x604df0d4b28262bb!8m2!3d6.3712224!4d2.4764887!16s%2Fg%2F11qbxy5p8r!19sChIJvWle9FSrPBARu2KCstTwTWA?authuser=0&hl=fr&rclk=1,N/A,N/A
65,Aux Douceurs de Lucie,Pâtisserie,N/A N/A,https://www.google.com/maps/place/Aux+Douceurs+de+Lucie/data=!4m7!3m6!1s0x1023579207701f6f:0x71a486391173f0ab!8m2!3d6.3910216!4d2.3672881!16s%2Fg%2F11hfp5v64p!19sChIJbx9wB5JXIxARq_BzETmGpHE?authuser=0&hl=fr&rclk=1,N/A,"Menontin, Rue 2172B"
66,Leglacier,Pâtisserie,"4,7 (3)",https://www.google.com/maps/place/Leglacier/data=!4m7!3m6!1s0x1023552c007f8bb9:0xf071a67f7ee72cc5!8m2!3d6.3713765!4d2.3941358!16s%2Fg%2F11h_dh69f_!19sChIJuYt_ACxVIxARxSznfn-mcfA?authuser=0&hl=fr&rclk=1,N/A,"Lot 1346, parcelle F, houeyiho 2, Cotonou"
67,La Franciscaine,Pâtisseries,N/A N/A,https://www.google.com/maps/place/La+Franciscaine/data=!4m7!3m6!1s0x103cab25137627cb:0x7d10a598b2f05c47!8m2!3d6.3873715!4d2.4608503!16s%2Fg%2F11ftkdhtry!19sChIJyyd2EyWrPBARR1zwspilEH0?authuser=0&hl=fr&rclk=1,N/A,"9FP6+W8X, Rue 1661"
68,Tastetoria Confectionery,Boulangerie,"5,0 (1)",https://www.google.com/maps/place/Tastetoria+Confectionery/data=!4m7!3m6!1s0x10235500daa56ef5:0xe5b664711648372a!8m2!3d6.3884338!4d2.4417823!16s%2Fg%2F11pcm6qkmj!19sChIJ9W6l2gBVIxARKjdIFnFktuU?authuser=0&hl=fr&rclk=1,N/A,Hlacomey von manja
